item_code;process_6;process_2;IRT_difficulty;KNN;RBF_SVM;Rand_Forest;AdaBoost;Naive_Bayes;QDA
EM_16b;undefined;Transferir;0,405;0,5;0,2;0,333;0,333;0,333;0,5
EM_21a;Aplicar;Transferir;-0,1;1;1;0,333;0,733;0,333;0,733
EM_21b;undefined;Transferir;-0,201;0,1;1;0,643;0,5;0,1;0,5
EM_26;Recordar;Retener;-0,258;1;0,733;0,333;1;0,333;1
EM_27b;Recordar;Retener;0,511;0,4;0;0;0,4;1;0,4
EM_35;Comprender;Transferir;-0,201;0,5;0,767;0,643;0,5;0,5;1
EM_43b;Aplicar;Transferir;0,511;0;1;1;0,857;0,667;1
EM_45b;Aplicar;Transferir;-0,1;1;0,733;0,333;0,5;0,5;0,5
EM_45c;Recordar;Retener;2;1;1;1;1;0,4;1
EM_46;Comprender;Transferir;1;1;1;1;1;0,4;1
EM_47;Comprender;Transferir;0,934;0,857;1;1;1;0,667;1
EM_48b;Analizar;Transferir;2;1;1;1;0,857;1;1
FN_17a;undefined;Transferir;-0,847;0,333;1;0,333;0,733;0,2;0,5
FN_17c;Comprender;Transferir;1;1;0,733;0,333;0,333;0,333;0,333
FN_19b;undefined;Transferir;-0,405;0,5;0,5;0,643;0,5;0,5;0,1
FN_20a;undefined;Transferir;1;0,1;0,1;0,1;0,1;0,5;0,767
FN_20b;Comprender;Transferir;-0,511;0,1;1;0,643;0,767;0,5;0,767
FN_24b;undefined;Transferir;-0,302;0,767;0,767;0,643;0,767;0,1;0,5
FN_24c;undefined;Transferir;1;1;1;1;1;0,857;0,857
FN_27a;Analizar;Transferir;-0,693;0,333;1;0,733;0,733;0,2;0,2
FN_27b;Comprender;Transferir;-2;1;1;1;1;1;1
II_13a;Comprender;Transferir;-0,693;0,333;1;0,333;1;0,733;0,733
II_13b;Comprender;Transferir;1;0,857;1;1;0,857;0;0,667
II_20b;Analizar;Transferir;2;1;1;1;1;1;1
II_24b;Evaluar;Transferir;0,731;0,767;0,643;0,643;0,643;0,5;0,5
II_26;Comprender;Transferir;1;0,733;0,333;0,333;0,2;0,2;0,333
II_38;Comprender;Transferir;1;0,643;1;0,643;0,643;1;1
LF_13a;undefined;undefined;0,357;0,333;0,333;0,333;0,733;0,333;0,333
LF_18a;Comprender;Transferir;0,383;0,5;0,333;0,333;0,5;0,333;0,5
LF_26a2;undefined;Transferir;1;0,733;0,333;0,333;0,333;0,333;0,333
LF_26b2;Analizar;Transferir;0,811;0,1;0,1;0,1;0,1;1;1
LF_27a;Comprender;Transferir;0,47;1;1;0,333;0,733;0,2;0,733
LF_28a2;undefined;Transferir;2;1;1;1;1;1;1
LF_31b;Comprender;Transferir;3;1;1;1;1;1;1
LF_33b;Comprender;Transferir;0,318;1;0,5;0,1;0,1;0,5;0,5
LF_34b;Comprender;Transferir;1;0,733;0,333;0,333;0,333;0,333;0,733
