"","n","mean","sd","median","trimmed","range","skew","kurtosis","se","IRT_difficulty","Chisq","df","p_value","outfitMSQ","infitMSQ","outfitZ","infitZ"
"EM_16b",40,0.4,0.496138938356834,0,0.375,1,0.393035065229554,-1.8909375,0.0784464540552736,0.405465108108164,34.0602635452803,39,0.694428694581955,0.851506588632008,0.920361166339433,-0.730280713151157,-0.699206012359966
"EM_21a",40,0.525,0.505736325340815,1,0.53125,1,-0.0963941041157119,-2.03984492481203,0.0799639341780453,-0.100083458556983,37.3799067614264,39,0.543876073733957,0.93449766903566,0.95465703887959,-0.521408895671287,-0.406191754331223
"EM_21b",40,0.55,0.503831473655779,1,0.5625,1,-0.193517088745061,-2.01096590909091,0.0796627506815691,-0.200670695462151,45.4441530533078,39,0.221380813878795,1.1361038263327,1.10190375984537,1.02104749646401,0.892216968930454
"EM_26",39,0.564102564102564,0.502356122102941,1,0.575757575757576,1,-0.248663869572414,-1.9871636658967,0.0804413583850269,-0.2578291093021,46.860932355642,38,0.153422428285461,1.20156236809338,1.14031011025304,1.49943812339264,1.3559202511727
"EM_27b",40,0.375,0.49029033784546,0,0.34375,1,0.497154402575296,-1.795875,0.0775217091182553,0.510825623765991,37.0152670396202,39,0.560704975846121,0.925381675990505,0.919151397532041,-0.355714249720412,-0.711889875046179
"EM_35",40,0.55,0.503831473655779,1,0.5625,1,-0.193517088745061,-2.01096590909091,0.0796627506815691,-0.200670695462151,39.7153668161937,39,0.43802782324686,0.992884170404843,0.999909326720996,-0.029888870788449,0.029088958767307
"EM_43b",40,0.375,0.49029033784546,0,0.34375,1,0.497154402575296,-1.795875,0.0775217091182553,0.510825623765991,41.0394042759825,39,0.381225167051994,1.02598510689956,1.06138985664683,0.23915623764251,0.605660639987975
"EM_45b",40,0.525,0.505736325340815,1,0.53125,1,-0.0963941041157119,-2.03984492481203,0.0799639341780453,-0.100083458556983,41.0492717912005,39,0.380814223287699,1.02623179478001,1.03145092238619,0.305973328664244,0.411765236268419
"EM_45c",40,0.125,0.334932063528542,0,0.03125,1,2.18327857982962,2.83955357142857,0.0529574091085202,1.94591014905531,155.98313459128,38,0.000000000000000309804281820255,3.99956755362257,0.939852882889991,3.56535268666209,-0.0826724795374376
"EM_46",40,0.225,0.42290206176626,0,0.15625,1,1.26802408519916,-0.400262096774194,0.0668666871181297,1.23676262714893,31.1732401191342,39,0.809663546609569,0.779331002978354,0.877396013338811,-0.797197022077979,-0.587317918733337
"EM_47",39,0.282051282051282,0.455880752454893,0,0.242424242424242,1,0.931648410861032,-1.15981454442993,0.072999343245876,0.934309237376833,42.277743704798,38,0.291407735178879,1.08404471037944,1.062660971633,0.464308207113508,0.442771301012933
"EM_48b",40,0.125,0.334932063528542,0,0.03125,1,2.18327857982962,2.83955357142857,0.0529574091085202,1.94591014905531,56.7299147259232,39,0.0330299390611251,1.41824786814808,1.08650656084617,0.940701083786745,0.367426488454251
"FN_17a",40,0.7,0.464095480892257,1,0.75,1,-0.840344317187051,-1.32508928571429,0.0733799385705343,-0.847297860387204,48.7434671082065,39,0.136340372204331,1.21858667770516,1.15851713072175,1.11431178417214,1.11557741664049
