;dtset;qtype;stype;quest_id;num_resp_ref;num_resp_est;num_aciertos;question;ref_ans
0;sciEntsBank;;;EM_45b;1;36;19;You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?;The water was evaporated, leaving the salt.
1;sciEntsBank;;;EM_45c;1;36;5;You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?;The crystals were square with Xs on the surface.
2;sciEntsBank;;;EM_16b;1;36;14;"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.";Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.
3;sciEntsBank;;;EM_21a;1;36;19;Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?;Rub the minerals together and see which one scratches the other.
4;sciEntsBank;;;EM_21b;1;36;21;Georgia found one brown mineral and one black mineral. How will she know which one is harder?;The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.
5;sciEntsBank;;;EM_43b;1;36;15;If Phil, a geologist, wants to test for calcite while in the field, what should he bring with him? (an acid such as vinegar). Describe what Phil should do to test for calcite and what he would observe.;Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.
6;sciEntsBank;;;EM_46;1;36;9;Describe how you can tell the difference between the crystals from the calcite test and salt crystals when you observe them in an evaporation dish.;The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).
7;sciEntsBank;;;EM_48b;1;36;5;Emily evaporated a solution and drew a picture of the crystals that remained. Using the crystal-shape key below, what was dissolved in the solution? A. Epsom salt (B. alum) C. sodium thiosulfate.  Explain why you chose that answer.;The crystals are the same shape as the alum crystals.
8;sciEntsBank;;;EM_26;1;35;20;Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.;The salt crystals are squares with Xs on top.
9;sciEntsBank;;;EM_27b;1;36;11;You can tell if a rock contains calcite by putting it into a cold acid (like vinegar). Describe what you would observe if you did the acid test on a rock that contains this substance.;Many tiny bubbles will rise from the calcite when the calcite contacts the cold acid.
10;sciEntsBank;;;EM_35;1;36;21;Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?;The harder coin will scratch the other.
