;dtset;qtype;stype;quest_id;question
0;TRAIN SciEntsBank;;;EM_45b;You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?
1;TRAIN SciEntsBank;;;EM_45c;You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?
2;TRAIN SciEntsBank;;;EM_16b;"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know."
3;TRAIN SciEntsBank;;;EM_21a;Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?
4;TRAIN SciEntsBank;;;EM_21b;Georgia found one brown mineral and one black mineral. How will she know which one is harder?
5;TRAIN SciEntsBank;;;EM_43b;If Phil, a geologist, wants to test for calcite while in the field, what should he bring with him? (an acid such as vinegar). Describe what Phil should do to test for calcite and what he would observe.
6;TRAIN SciEntsBank;;;EM_46;Describe how you can tell the difference between the crystals from the calcite test and salt crystals when you observe them in an evaporation dish.
7;TRAIN SciEntsBank;;;EM_48b;Emily evaporated a solution and drew a picture of the crystals that remained. Using the crystal-shape key below, what was dissolved in the solution? A. Epsom salt (B. alum) C. sodium thiosulfate.  Explain why you chose that answer.
8;TRAIN SciEntsBank;;;EM_26;Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.
9;TRAIN SciEntsBank;;;EM_27b;You can tell if a rock contains calcite by putting it into a cold acid (like vinegar). Describe what you would observe if you did the acid test on a rock that contains this substance.
10;TRAIN SciEntsBank;;;EM_35;Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?
11;TRAIN SciEntsBank;;;EM_47;The sand and flour in the gray material from mock rocks is separated by mixing with water and allowing the mixture to settle. Explain why the sand and flour separate.
12;TRAIN SciEntsBank;;;FN_20a;Anna wants to compare the fat in walnuts and peanuts, but she isn't sure how. Write a procedure Anna can use to compare the fat in walnuts and peanuts.
13;TRAIN SciEntsBank;;;FN_20b;Anna wants to compare the fat in walnuts and peanuts. Using only the results from her experiment, how will Anna know which one, walnuts or peanuts, has more fat? The experiment has the following procedure: Measure out equal masses of walnuts and peanuts (for example, one gram). Smash the samples uniformly in the same size area on brown paper. Wait (the same time for each).
14;TRAIN SciEntsBank;;;FN_19b;Susan has samples of 5 different foods. Using only the results of her experiment, how will Susan know which food contains the most sugar?
15;TRAIN SciEntsBank;;;FN_24b;Diva's father told her she should not eat so many cookies because they were pure sugar. Diva decided to investigate the amount of sugar in Fruity Cream cookies. She performed the sugar test on 4 grams of pure sugar and on 4 grams of Fruity Cream cookies. The results are pictured at the right. Are Fruity Cream cookies pure sugar? What is your evidence?
16;TRAIN SciEntsBank;;;FN_24c;Diva's father told her she should not eat so many cookies because they were pure sugar. Diva decided to investigate the amount of sugar in Fruity Cream cookies. She performed the sugar test on 4 grams of pure sugar and on 4 grams of Fruity Cream cookies. The results are pictured at the right. Why did Diva need to test pure sugar?
17;TRAIN SciEntsBank;;;FN_17a;Paula wants to test a food to see if it contains acid and/or sugar. When Paula added water and yeast to a sample of the food and put the mixture in a warm water bath, the mixture began to fizz and bubble. What does this chemical reaction indicate?
18;TRAIN SciEntsBank;;;FN_17c;Paula wants to test a food to see if it contains acid and/or sugar. When Paula added water and yeast to a sample of the food and put the mixture in a warm water bath, the mixture began to fizz and bubble. Paula tested for the other substance. What would the test results tell her?
19;TRAIN SciEntsBank;;;FN_27a;Jana and Emily used indophenol to test 3 beverages for vitamin C. The number of drops they added to make a 10 milliliter sample of the blue indophenol indicator become colorless are given here: 8 drops of Overly Orange 13 drops of Luscious Lemon 33 drops of Fruitsnap (and it still didn't change color). Does Overly Orange or Luscious Lemon contain a higher concentration of vitamin C? What is the evidence?
20;TRAIN SciEntsBank;;;FN_27b;Jana and Emily used indophenol to test 3 beverages for vitamin C. The number of drops they added to make a 10 milliliters sample of the blue indophenol indicator become colorless are given here: 8 drops of Overly Orange 13 drops of Luscious Lemon 33 drops of Fruitsnap (and it still didn't change color). Why didn't the indophenol change color with Fruitsnap?
21;TRAIN SciEntsBank;;;II_13a;Look at the finger patterns below, then answer the questions. What is the same about the finger patterns?
22;TRAIN SciEntsBank;;;II_26;Look at the rubbings of 2 different fabrics. What do the rubbings tell us about the different textures of these 2 fabrics?
23;TRAIN SciEntsBank;;;II_13b;Look at the finger patterns below, then answer the questions. What is different about the finger patterns?
24;TRAIN SciEntsBank;;;II_24b;Design a way to use carbon printing to find out if 2 Labrador retrievers have the same paw patterns. How will you know if the 2 dogs have paw patterns that are the same?
25;TRAIN SciEntsBank;;;II_20b;When Sarah did the chromatography test, she saw that one black ink stayed black and didn't separate. She discovered that she had used a permanent marker. She wondered what would happen if she used a different liquid. She wrote in her science notebook, What if I used vinegar in place of the water? Can I get the pigments in permanent ink to separate? How will Sarah know if vinegar separated the permanent ink?
26;TRAIN SciEntsBank;;;II_38;Describe what you would see if a mirror were placed along a line of symmetry on a flat object.
27;TRAIN SciEntsBank;;;LF_39;Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.
28;TRAIN SciEntsBank;;;LF_31b;What process forms deltas? A. Gravity B. Erosion (C. Deposition) D. Decomposition.  Explain how deltas form.
29;TRAIN SciEntsBank;;;LF_33b;Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?
30;TRAIN SciEntsBank;;;LF_34b;Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?
31;TRAIN SciEntsBank;;;LF_18a;How does the water flow in a creek during a flood compared to normal water flow?
