;quest_id;ref_ans
0;EM_45b;The water was evaporated, leaving the salt.
1;EM_45c;The crystals were square with Xs on the surface.
2;EM_16b;Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.
3;EM_21a;Rub the minerals together and see which one scratches the other.
4;EM_21b;The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.
5;EM_43b;Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.
6;EM_46;The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).
7;EM_48b;The crystals are the same shape as the alum crystals.
8;EM_26;The salt crystals are squares with Xs on top.
9;EM_27b;Many tiny bubbles will rise from the calcite when the calcite contacts the cold acid.
10;EM_35;The harder coin will scratch the other.
11;EM_47;The sand particles are larger and settle first. The flour particles are smaller and therefore settle more slowly.
12;FN_20a;Measure out equal masses of walnuts and peanuts. Smash the samples uniformly in the same size area on brown paper. Wait the same time for each sample.
13;FN_20b;Anna should compare the size of the grease spots. The sample with the larger grease spot has more fat.
14;FN_19b;Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.
15;FN_24b;No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.
16;FN_24c;Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.
17;FN_17a;The food contains sugar.
18;FN_17c;If gas (carbon dioxide) is produced, the food contains acid. If no gas is produced, the food does not contain acid.
19;FN_27a;Overly Orange takes fewer drops to change the color of indophenol so Overly Orange has a higher concentration of vitamin C.
20;FN_27b;Fruitsnap contains little or no vitamin C so Fruitsnap does not change the color of the indophenol.
21;II_13a;Both finger patterns are loops.
22;II_26;Fabric A is smoother and has a finer texture. Fabric B is rougher and has a coarser texture.
23;II_13b;The loops begin at opposite sides of the print.
24;II_24b;Compare prints to see if the patterns are the same.
25;II_20b;Seeing multiple colors would show that vinegar can separate the permanent ink.
26;II_38;The mirror would complete the image of the object and make the object appear whole.
27;LF_39;2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.
28;LF_31b;Earth materials erode and are carried by flowing water (a river). The earth materials form a delta when the materials are dropped off or deposited when the water stops flowing (at the mouth of a river).
29;LF_33b;The clay particles are lighter or smaller and are therefore carried farther by the water, so the clay particles end up the greatest distance away from the mouth of the river.
30;LF_34b;Water will always flow downhill (mountain to valley).
31;LF_18a;During a flood there is more water in the creek and the water flows faster.
32;LF_28a2;You can see how much time is taken for the earth materials to move.
33;LF_26a2;She recommended the topographic map because the map shows the elevations along the trail. Pam would know where the trail was the steepest.
34;LF_26b2;The contour lines are closest together at Q.
35;LF_13a;Earth materials settle out during deposition.
36;LF_27a;40 meters. The change in elevation is 20 meters between A and B and 20 meters between B and C. So the change between A and C is 40 meters. 20 m plus 20 m equals 40 m.
37;LF_6b;A bigger hole puts more water in the stream. Increased flow moves more earth materials, increasing erosion. A steeper slope makes the water flow faster. Faster flow moves more earth materials, increasing erosion.
38;LP_15c;If the effort is applied farther from the fulcrum, less effort will lift the load.
39;LP_16d;You have to pull up in this system.  In the single fixed pulley system, you get a directional advantage.
40;ME_27b;"If the key sticks, the key is iron; if the key does not stick the key is aluminum."
41;ME_28b;Like poles repel and opposite poles attract.
42;ME_30;A car is made of a lot of iron or steel.
43;ME_5b;The brass ring would not stick to the nail because the ring is not iron. The nail is a temporary magnet, but brass cannot become a temporary magnet and thus does not stick to magnets.
44;ME_66a;No, string is an insulator, so the pathway would not be completed.
45;ME_66b;Yes, aluminum foil is a metal and all metals conduct. The aluminum foil would complete the circuit.
46;ME_6b;The circuit is not complete. The electrical pathway is broken.
47;ME_72;That circuit is the only circuit that uses all of the correct contact points.
48;ME_7a;Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.
49;ME_7b;If the motor runs, the object is a conductor.
50;ME_17a;The bulb will light.
51;ME_17b;There is a complete circuit connecting the bulb to the D-cell battery.
52;ME_17c;The motor will run.
53;ME_17d;There is a complete circuit connecting the motor to the D-cell battery.
54;ME_17e;No. Only one circuit can be complete at a time.
55;ME_38a;The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.
56;ME_10;The negative terminals of the D-cell batteries are facing each other, so there is no flow of electricity.
57;ME_78b;The motor will continue to run because the motor still has a pathway to the D-cell.
58;ME_79;When a paperclip sticks to a magnet, the paperclip turns into a temporary magnet, so the paperclip can stick to other paperclips and other things made of iron.
